cust_number,avg_payment_delay,std_payment_delay,min_delay,max_delay,avg_days_to_clear,avg_due_days,avg_invoice_amount,total_lifetime_value,transaction_count,company_name,late_payment_ratio
0100012482,-4.0,0.0,-4.0,-4.0,17.0,21.0,5465.7,5465.7,1,UNI ,0.0
0100012638,3.1,4.315211771347839,1.0,20.0,19.2,16.1,30785.620000000003,615712.4,20,99 CE systems,1.0
0100012698,4.75,7.041543391425869,-3.0,14.0,19.75,15.0,2612.3525,10449.41,4,HT H corp,0.75
0100012836,2.0,0.0,2.0,2.0,20.0,18.0,14862.88,14862.88,1,US us,1.0
0100012991,-0.8,5.294201680005346,-6.0,16.0,10.8,11.6,14223.3385,213350.07749999998,15,CJR WH associates,0.13333333333333333
0100013048,-6.0,18.384776310850235,-19.0,7.0,25.0,31.0,7656.25,15312.5,2,COMPAC corp,0.5
0100013148,-2.0,0.0,-2.0,-2.0,20.0,22.0,10078.56,10078.56,1,HARRY systems,0.0
0100013282,-13.0,0.0,-13.0,-13.0,17.0,30.0,8795.75,8795.75,1,AGR systems,0.0
0100013335,4.333333333333333,5.501514942874069,0.0,15.0,67.83333333333333,63.5,53459.583333333336,320757.5,6,FXM I llc,0.8333333333333334
0100013521,0.0,0.0,0.0,0.0,18.0,18.0,129473.83,129473.83,1,THAYE ,0.0
0100013928,6.8,11.734564329364767,-5.0,26.0,23.4,16.6,5638.944,28194.72,5,HT HAC us,0.8
0100013947,11.5,20.506096654409877,-3.0,26.0,33.5,22.0,12369.6,24739.2,2,M C  co,0.5
0100014187,0.75,0.5,0.0,1.0,22.0,21.25,77030.33,308121.32,4,GAD  in,0.75
0100014288,-7.0,0.0,-7.0,-7.0,11.0,18.0,8774.0,8774.0,1,ROCKLA ,0.0
0100014724,-6.6,1.8165902124584952,-9.0,-5.0,10.4,17.0,16393.264000000003,81966.32,5,DEC co,0.0
0100014810,4.0,5.656854249492381,0.0,8.0,21.0,17.0,3540.0000000000005,7080.000000000001,2,J.B. H systems,0.5
0100015455,0.5,7.14142842854285,-5.0,11.0,19.5,19.0,19945.745,79782.98,4,PERFOR foundation,0.25
0100015557,0.5238095238095238,14.27101624839327,-52.0,20.0,20.19047619047619,19.666666666666668,19218.26142857143,403583.49,21,BI associates,0.47619047619047616
0100015818,-1.0,0.816496580927726,-2.0,0.0,10.5,11.5,49973.6475,199894.59,4,MET in,0.0
0100015934,6.0,9.899494936611665,-1.0,13.0,19.5,13.5,31692.84,63385.68,2,SURL corporation,0.5
0100016691,4.3,4.922736366426028,-6.0,10.0,34.5,30.2,15492.389000000001,154923.89,10,BAY  associates,0.8
0100017419,-21.0,0.0,-21.0,-21.0,69.0,90.0,89975.94,89975.94,1,COYOT systems,0.0
0100017545,0.0,6.4142698058981855,-11.0,9.0,25.625,25.625,21636.1075,173088.86,8,PERFOR ,0.375
0100017600,6.0,0.0,6.0,6.0,119.0,113.0,106067.5,106067.5,1,ZIYAD  us,1.0
0100018142,20.0,0.0,20.0,20.0,8.0,-12.0,33812.4,33812.4,1,MINNESO ,1.0
0100019293,0.42857142857142855,1.2724180205607034,-1.0,3.0,12.0,11.571428571428571,26076.25,182533.75,7,EDDY P corporation,0.2857142857142857
0100019410,-3.0,0.0,-3.0,-3.0,12.0,15.0,43852.16,43852.16,1,PERFOR co,0.0
0100021392,2.3333333333333335,3.2145502536643185,0.0,6.0,17.333333333333332,15.0,15708.36,47125.08,3,MY MOT ,0.6666666666666666
0100021489,21.571428571428573,38.191871486208264,4.0,108.0,32.857142857142854,11.285714285714286,6186.316071428571,43304.2125,7,CHENS E co,1.0
0100021540,0.7948717948717948,8.316690533529506,-33.0,16.0,42.0,41.205128205128204,25043.231794871797,976686.04,39,MASTER us,0.6666666666666666
0100023056,-4.0,0.0,-4.0,-4.0,7.0,11.0,21066.975,21066.975,1,F. M associates,0.0
0100024102,-0.5,1.2909944487358056,-2.0,1.0,31.5,32.0,34709.5875,138838.35,4,FELI ,0.25
0100024767,6.25,3.2015621187164243,3.0,9.0,41.25,35.0,3325.84,13303.36,4,GREEN  ,1.0
0100024776,4.166666666666667,10.338219763517696,-5.0,23.0,41.166666666666664,37.0,11311.3675,135736.41,12,PEA corporation,0.5
0100024952,6.0,0.0,6.0,6.0,55.0,49.0,38219.36,38219.36,1,CORPOR corporation,1.0
0100025068,195.0,0.0,195.0,195.0,206.0,11.0,5376.0,5376.0,1,GROC foundation,1.0
0100025382,3.5,3.5355339059327378,1.0,6.0,15.0,11.5,3735.05625,7470.1125,2,RT FRES in,1.0
0100025470,-0.25,1.5,-2.0,1.0,27.0,27.25,2320.94,9283.76,4,HACKN co,0.5
0100025658,9.857142857142858,3.8047589248453675,5.0,15.0,40.0,30.142857142857142,10271.574285714287,71901.02,7,PEA systems,1.0
0100025721,3.3333333333333335,1.1547005383792517,2.0,4.0,16.333333333333332,13.0,16180.385,48541.155,3,MANU corp,1.0
0100025890,0.5,4.070801956792859,-5.0,5.0,10.625,10.125,46436.987499999996,371495.89999999997,8,DIANN llc,0.5
0100025924,-6.0,0.0,-6.0,-6.0,43.0,49.0,50757.56,101515.12,2,WRT W co,0.0
0100026401,-1.0,0.0,-1.0,-1.0,30.0,31.0,23965.99,23965.99,1,TRUI corporation,0.0
0100026809,-3.25,4.9916597106239795,-10.0,2.0,6.5,9.75,13886.25,55545.0,4,PRES corporation,0.25
0100026902,11.0,0.0,11.0,11.0,26.0,15.0,20408.99,20408.99,1,SPECIA ,1.0
0100026903,5.5,0.7071067811865476,5.0,6.0,22.0,16.5,45750.965,91501.93,2,CHEE us,1.0
0100026937,2.0,0.0,2.0,2.0,14.0,12.0,22095.36,22095.36,1,KOL llc,1.0
0100026939,2.3333333333333335,1.4142135623730951,0.0,4.0,17.22222222222222,14.88888888888889,17911.663333333334,161204.97,9,SYSC corporation,0.8888888888888888
0100026947,5.5,0.7071067811865476,5.0,6.0,37.5,32.0,22047.260000000002,44094.520000000004,2,IMCOM co,1.0
0100027103,0.0,0.0,0.0,0.0,49.0,49.0,2688.61,2688.61,1,MICR trust,0.0
0100027239,8.0,0.0,8.0,8.0,20.0,12.0,6072.0,6072.0,1,SELECT systems,1.0
0100027281,-3.0,0.0,-3.0,-3.0,10.0,13.0,27121.245000000003,27121.245000000003,1,236008 associates,0.0
0100027362,-3.0,0.0,-3.0,-3.0,8.0,11.0,23745.375,23745.375,1,DIANA D llc,0.0
0100027701,0.0,0.0,0.0,0.0,14.0,14.0,6712.2,6712.2,1,BAKE foundation,0.0
0100027744,3.0,0.8944271909999159,2.0,4.0,3.0,0.0,7587.614999999999,45525.689999999995,6,OMEGA AD corp,1.0
0100027772,-4.0,0.0,-4.0,-4.0,10.0,14.0,18374.55,18374.55,1,SA trust,0.0
0100028184,3.0,0.0,3.0,3.0,13.0,10.0,12240.0,12240.0,1,SD  associates,1.0
0100028210,4.625,6.843923269169937,-8.0,11.0,24.5,19.875,16077.52375,128620.19,8,WEST  ,0.75
0100028396,5.0,0.0,5.0,5.0,19.0,14.0,9435.0,9435.0,1,MERI corporation,1.0
0100028413,3.0,1.4142135623730951,2.0,4.0,21.5,18.5,8169.9,16339.8,2,SOP co,1.0
0100028418,5.0,0.0,5.0,5.0,27.0,22.0,3529.44,3529.44,1,NORTHE trust,1.0
0100028450,3.4285714285714284,2.2774576147127714,0.0,7.0,15.357142857142858,11.928571428571429,26093.125,365303.75,14,DASA I co,0.9285714285714286
0100028708,12.0,0.0,12.0,12.0,43.0,31.0,16666.199999999997,16666.199999999997,1,FOOD co,1.0
0100028715,-37.5,53.033008588991066,-75.0,0.0,16.5,54.0,22294.855,44589.71,2,SPECIALT ,0.0
0100028731,3.0,0.0,3.0,3.0,15.0,12.0,11292.974999999999,11292.974999999999,1,MR. DAIRY corp,1.0
0100029323,0.0,0.0,0.0,0.0,20.0,20.0,13598.23,13598.23,1,JOHN H associates,0.0
0100029649,-0.46153846153846156,5.285442028430303,-6.0,11.0,11.23076923076923,11.692307692307692,15202.112307692307,197627.46,13,LES ENTRE co,0.38461538461538464
0100029677,9.0,23.065125189341593,-9.0,35.0,70.66666666666667,61.666666666666664,38696.12,116088.36,3,MASSIMO  associates,0.6666666666666666
0100029811,12.0,0.0,12.0,12.0,12.0,0.0,19493.49,19493.49,1,SCAV corporation,1.0
0100029855,-0.3333333333333333,1.1547005383792517,-1.0,1.0,17.666666666666668,18.0,12225.06,36675.18,3,MCLA corporation,0.3333333333333333
0100030014,-9.375,3.2043497223082786,-13.0,-5.0,10.5,19.875,74571.75,596574.0,8,BASIX  foundation,0.0
0100030194,8.264705882352942,20.238440506948596,-4.0,120.0,23.294117647058822,15.029411764705882,11937.696176470588,405881.67,34,AMAZO associates,0.8823529411764706
0100030223,-3.5,3.872983346207417,-8.0,1.0,7.0,10.5,7180.625,28722.5,4,SAPUTO  foundation,0.25
0100030250,4.0,0.0,4.0,4.0,17.0,13.0,14329.44,14329.44,1,QUESO systems,1.0
0100030443,1.1428571428571428,1.0690449676496976,0.0,3.0,15.857142857142858,14.714285714285714,5997.162857142857,41980.14,7,GLACIE associates,0.7142857142857143
0100030565,1.5,2.1213203435596424,0.0,3.0,16.0,14.5,31965.1,63930.2,2,TEE in,0.5
0100030855,-5.0,12.727922061357855,-14.0,4.0,12.0,17.0,98506.95,197013.9,2,INN llc,0.5
0100030934,-2.5,0.7071067811865476,-3.0,-2.0,9.5,12.0,4737.15,9474.3,2,GROUPE  corporation,0.0
0100030964,-6.135135135135135,3.816354879274799,-13.0,3.0,10.243243243243244,16.37837837837838,14538.038918918917,537907.44,37,NATURA in,0.05405405405405406
0100031483,-5.0,4.242640687119285,-8.0,-2.0,17.0,22.0,2635.99,5271.98,2,OCEAN FA corp,0.0
0100031628,1.0,1.4142135623730951,0.0,2.0,21.0,20.0,25189.5975,50379.195,2,COLDST llc,0.5
0100031686,0.875,5.540435774506241,-9.0,10.0,34.875,34.0,5468.98375,43751.87,8,EWT-EU co,0.5
0100031704,1.130718954248366,10.906573629415844,-50.0,90.0,20.702614379084967,19.5718954248366,58309.497581699354,17842706.26,306,DELHAIZE corp,0.6405228758169934
0100031723,-3.7777777777777777,0.4409585518440983,-4.0,-3.0,24.88888888888889,28.666666666666668,69443.88222222222,624994.9400000001,9,FAR W corporation,0.0
0100031920,-1.75,0.9574271077563382,-3.0,-1.0,10.5,12.25,10641.27375,42565.095,4,AOF SER co,0.0
0100031970,1.6363636363636365,3.5290998079603044,-5.0,8.0,16.545454545454547,14.909090909090908,7611.671590909091,83728.3875,11,CAPITAL trust,0.6363636363636364
0100032134,12.25,10.111874208078342,3.0,21.0,12.0,-0.25,25982.135000000002,103928.54000000001,4,DAYSTAR  llc,1.0
0100032178,10.0,0.0,10.0,10.0,31.0,21.0,79770.33,79770.33,1,DAVID  ,1.0
0100032262,1.0,0.0,1.0,1.0,16.0,15.0,13872.48,13872.48,1,INTERSTA co,1.0
0100032278,1.5,0.7071067811865476,1.0,2.0,9.5,8.0,6944.054999999999,13888.109999999999,2,SI corp,1.0
0100032284,24.22222222222222,37.73850082401849,-8.0,117.0,64.44444444444444,40.22222222222222,17784.301111111112,160058.71,9,KEURIG co,0.8888888888888888
0100032505,0.0,0.0,0.0,0.0,20.0,20.0,4472.78,4472.78,1,KEHE systems,0.0
0100032523,0.3333333333333333,2.516611478423583,-2.0,3.0,29.333333333333332,29.0,21071.43,63214.29,3,SALM associates,0.3333333333333333
0100032791,3.75,3.095695936834452,1.0,8.0,38.5,34.75,29502.165,118008.66,4,B FERN associates,1.0
0100033266,14.0,0.0,14.0,14.0,34.0,20.0,17243.1,34486.2,2,INTERN trust,1.0
0100033268,-1.25,5.909032633745278,-7.0,7.0,14.5,15.75,28003.0925,112012.37,4,NICHOL ,0.25
0100033300,-2.5,9.192388155425117,-9.0,4.0,8.5,11.0,65616.275,131232.55,2,CLAS corporation,0.5
0100033394,4.6,5.621387729022079,-1.0,14.0,62.5,57.9,41309.774,413097.74,10,MONOGR associates,0.7
0100033439,-4.428571428571429,2.5071326821120348,-8.0,-1.0,7.857142857142857,12.285714285714286,34728.0,243096.0,7,WESTI corporation,0.0
0100033558,-22.0,1.4142135623730951,-23.0,-21.0,13.0,35.0,15876.645,31753.29,2,TRI- corp,0.0
0100033778,1.0,9.899494936611665,-6.0,8.0,21.0,20.0,7928.72,15857.44,2,TAYLOR corporation,0.5
0100034022,3.6666666666666665,4.163331998932265,-1.0,7.0,18.333333333333332,14.666666666666666,10765.033333333333,32295.1,3,GRECO  co,0.6666666666666666
0100034087,-33.0,0.0,-33.0,-33.0,31.0,64.0,3011.19,3011.19,1,IA in,0.0
0100034330,4.705882352941177,9.73886996705953,-13.0,35.0,38.411764705882355,33.705882352941174,10861.238235294117,184641.05,17,MASSY D corp,0.7647058823529411
0100034443,0.0,0.816496580927726,-1.0,1.0,15.0,15.0,16786.0775,67144.31,4,FOOD A corp,0.25
0100034820,-3.6666666666666665,3.0550504633038935,-7.0,-1.0,8.666666666666666,12.333333333333334,9559.18,28677.54,3,MTY TIKI ,0.0
0100034821,-6.5,4.949747468305833,-10.0,-3.0,4.5,11.0,30317.25,60634.5,2,17135 associates,0.0
0100034822,5.5,0.7071067811865476,5.0,6.0,24.0,18.5,4694.722500000001,9389.445000000002,2,SUGARP corporation,1.0
0100034823,-1.0,0.0,-1.0,-1.0,12.0,13.0,24305.4525,24305.4525,1,ZARCO co,0.0
0100034952,2.0,0.0,2.0,2.0,14.0,12.0,8245.875,8245.875,1,TORONTO in,1.0
0100034958,8.0,0.0,8.0,8.0,20.0,12.0,2329.3125,2329.3125,1,CHICAGO  llc,1.0
0100034961,12.0,0.0,12.0,12.0,23.0,11.0,3474.75,3474.75,1,LES DIST foundation,1.0
0100035071,2.0,0.0,2.0,2.0,14.0,12.0,10519.2,10519.2,1,DAYLIGH co,1.0
0100035137,-2.0,0.0,-2.0,-2.0,10.0,12.0,5789.25,5789.25,1,SPECIA associates,0.0
0100035138,3.0,0.0,3.0,3.0,14.0,11.0,17319.300000000003,17319.300000000003,1,MAITR systems,1.0
0100035143,13.0,0.0,13.0,13.0,24.0,11.0,12665.625,12665.625,1,S&S  associates,1.0
0100035145,0.0,0.0,0.0,0.0,14.0,14.0,15808.125,15808.125,1,SABRINA ,0.0
0100035505,6.0,0.0,6.0,6.0,19.0,13.0,5940.0,5940.0,1,COUN trust,1.0
0100035578,0.9090909090909091,5.821589910918588,-5.0,15.0,31.90909090909091,31.0,15087.586363636363,165963.44999999998,11,MICH ,0.45454545454545453
0100035581,-4.0,2.8284271247461903,-6.0,-2.0,12.0,16.0,38308.75,76617.5,2,LAWR corporation,0.0
0100035734,-4.5,4.949747468305833,-8.0,-1.0,12.5,17.0,16779.395,33558.79,2,MERCH ,0.0
0100035824,-1.0,0.0,-1.0,-1.0,15.0,16.0,19233.24,19233.24,1,CHAIN DI systems,0.0
0100035833,-7.0,0.0,-7.0,-7.0,25.0,32.0,40841.1,40841.1,1,MICRON associates,0.0
0100035877,1.8181818181818181,2.2723636072680717,-4.0,4.0,19.545454545454547,17.727272727272727,12985.318181818182,142838.5,11,DUNKIN us,0.9090909090909091
0100035879,8.0,0.0,8.0,8.0,32.0,24.0,10542.2,10542.2,1,MILLENNIU llc,1.0
0100035971,4.5,3.5355339059327378,2.0,7.0,19.5,15.0,22188.725,44377.45,2,BON  foundation,1.0
0100035976,-1.0,0.0,-1.0,-1.0,14.0,15.0,9181.29,9181.29,1,HAN associates,0.0
0100036009,6.0,4.242640687119285,-1.0,13.0,43.857142857142854,37.857142857142854,22678.510000000002,158749.57,7,JOSE in,0.8571428571428571
0100036039,-4.777777777777778,14.87260718382774,-44.0,5.0,16.22222222222222,21.0,32237.15111111111,290134.36,9,GI co,0.2222222222222222
0100036060,-0.5,19.908122295518815,-30.0,12.0,62.5,63.0,19857.365,79429.46,4,PANAMEX  co,0.75
0100036062,-4.333333333333333,1.1547005383792517,-5.0,-3.0,5.666666666666667,10.0,23847.8,71543.4,3,MID S in,0.0
0100036066,2.7419354838709675,5.085716874643363,0.0,19.0,20.774193548387096,18.032258064516128,28272.78516129032,876456.34,31,GROC associates,0.41935483870967744
0100036153,2.0,2.8284271247461903,0.0,4.0,17.5,15.5,40571.28,81142.56,2,TENNES ,0.5
0100036162,15.0,0.0,15.0,15.0,38.0,23.0,12676.0,12676.0,1,DAVIS trust,1.0
0100036234,7.0,0.0,7.0,7.0,22.0,15.0,2933.74,2933.74,1,GOURM llc,1.0
0100036250,-2.0,0.0,-2.0,-2.0,14.0,16.0,31172.17,31172.17,1,BODAC in,0.0
0100036292,5.166666666666667,9.27198452164891,-5.0,25.0,21.0,15.833333333333334,19261.261666666665,231135.13999999998,12,AMY systems,0.5
0100036318,1.6,1.9493588689617927,-1.0,4.0,12.0,10.4,34209.282,171046.41,5,TFC co,0.8
0100036470,3.0,0.0,3.0,3.0,13.0,10.0,67288.2,67288.2,1,BICKEL us,1.0
0100036486,4.5,2.1213203435596424,3.0,6.0,25.0,20.5,152245.115,304490.23,2,NEB corporation,1.0
0100036538,-6.142857142857143,1.70326125450528,-9.0,-2.0,12.214285714285714,18.357142857142858,4119.061428571428,57666.86,14,DENVER foundation,0.0
0100036722,17.5,4.949747468305833,14.0,21.0,27.5,10.0,15489.6,30979.2,2,SUNN in,1.0
0100037035,4.0,0.0,4.0,4.0,8.0,4.0,5160.78,5160.78,1,CAS I us,1.0
0100037386,-1.0,0.0,-1.0,-1.0,15.0,16.0,5126.0,5126.0,1,SOUTH  us,0.0
0100043880,-4.0,0.0,-4.0,-4.0,14.0,18.0,17799.0,17799.0,1,ALP systems,0.0
0100043882,-2.0,0.0,-2.0,-2.0,13.0,15.0,35428.53,35428.53,1,HAWAI ,0.0
0100043885,107.0,0.0,107.0,107.0,126.0,19.0,17.33,17.33,1,VIP  ,1.0
0100043892,-1.0,3.6594131152175327,-7.0,11.0,13.666666666666666,14.666666666666666,16135.118333333332,387242.83999999997,24,IN-N in,0.16666666666666666
0100043895,-4.0,0.0,-4.0,-4.0,12.0,16.0,24004.2,24004.2,1,BOVA F in,0.0
0100043901,-3.0,0.0,-3.0,-3.0,15.0,18.0,38745.53,38745.53,1,DAVI co,0.0
0100043902,-5.0,2.6457513110645907,-8.0,-3.0,26.0,31.0,19289.503333333334,57868.51,3,THE P corp,0.0
0100043903,-4.75,0.9574271077563381,-6.0,-4.0,30.25,35.0,13570.14,54280.56,4,CARIB corporation,0.0
0100043909,-2.0,0.0,-2.0,-2.0,26.0,28.0,1160.0,1160.0,1,ORIO associates,0.0
0100043928,-6.5,3.415650255319866,-11.0,-3.0,11.5,18.0,3610.8175,14443.27,4,MAM ,0.0
0100043931,5.0,0.0,5.0,5.0,37.0,32.0,1406.1,1406.1,1,CD F trust,1.0
0100043933,-9.333333333333334,6.801960501698512,-15.0,4.0,12.0,21.333333333333332,51660.37333333333,309962.24,6,TAPA co,0.16666666666666666
0100043936,1.0,3.5552777669262356,-10.0,13.0,11.76923076923077,10.76923076923077,16549.415,430284.79,26,PAPA JO corp,0.5384615384615384
0100043937,-8.0,0.0,-8.0,-8.0,13.0,21.0,17929.3,17929.3,1,RAMO corp,0.0
0100043948,-1.7777777777777777,2.9907264074877267,-6.0,3.0,20.333333333333332,22.11111111111111,17154.646666666667,154391.82,9,AMERIC foundation,0.2222222222222222
0100043949,-0.125,0.6408699444616557,-1.0,1.0,21.375,21.5,17157.25,137258.0,8,HOME R systems,0.125
0100043955,8.0,9.899494936611665,1.0,15.0,25.0,17.0,18032.29,36064.58,2,UN systems,1.0
0100043956,2.0,0.0,2.0,2.0,17.0,15.0,26558.52,26558.52,1,E&S co,1.0
0100043962,0.0,0.0,0.0,0.0,15.0,15.0,22897.41,22897.41,1,FR ,0.0
0100043965,2.0,1.4142135623730951,1.0,3.0,2.0,0.0,16385.5,32771.0,2,THE SQUA foundation,1.0
0100043973,-0.75,6.017830648521585,-7.0,12.0,15.75,16.5,11869.535,94956.28,8,BOARD corporation,0.25
0100043975,0.6666666666666666,0.5773502691896258,0.0,1.0,17.666666666666668,17.0,2747.4,8242.2,3,JAVA corporation,0.6666666666666666
0100043987,-2.0,8.48528137423857,-8.0,4.0,17.5,19.5,27003.09,54006.18,2,MELLO systems,0.5
0100043993,-1.0,0.0,-1.0,-1.0,14.0,15.0,12442.39,12442.39,1,BOBBY S trust,0.0
0100044007,2.0,2.8284271247461903,0.0,4.0,2.0,0.0,15692.15,31384.3,2,SUPER associates,0.5
0100044010,-22.857142857142858,1.0271051820261923,-25.0,-21.0,9.642857142857142,32.5,47379.630000000005,663314.8200000001,14,LAND associates,0.0
0100044018,0.0,0.0,0.0,0.0,17.0,17.0,17891.22,17891.22,1,KELLY corporation,0.0
0100044019,-7.0,0.0,-7.0,-7.0,15.0,22.0,190.19,190.19,1,JACK D foundation,0.0
0100044041,-7.4,0.8432740427115678,-9.0,-6.0,10.5,17.9,1314.764,13147.64,10,DEF. F llc,0.0
0100044048,22.0,0.0,22.0,22.0,37.0,15.0,3406.0,3406.0,1,CJ  foundation,1.0
0100046048,-1.0,1.4142135623730951,-2.0,0.0,19.5,20.5,438.99,877.98,2,SYS ,0.0
0100046464,59.0,79.19595949289332,3.0,115.0,60.0,1.0,13305.400000000001,26610.800000000003,2,AL MAJ corp,1.0
0100046469,3.5,3.5355339059327378,1.0,6.0,3.5,0.0,14329.4,28658.8,2,FRANQUICI foundation,1.0
0100046475,9.0,0.0,9.0,9.0,9.0,0.0,14366.8,14366.8,1,CITI-BA associates,1.0
0100046476,4.0,0.0,4.0,4.0,4.0,0.0,14304.4,14304.4,1,PAPA JOH co,1.0
0100046479,-6.8,1.4832396974191326,-9.0,-5.0,8.2,15.0,14092.64,70463.2,5,PAPA co,0.0
0100046480,1.0,0.0,1.0,1.0,1.0,0.0,14329.4,14329.4,1,PJ  ,1.0
0100046482,0.0,0.0,0.0,0.0,4.0,4.0,21094.8,21094.8,1,SHANGHAI us,0.0
0100046483,5.0,0.0,5.0,5.0,5.0,0.0,13938.4,13938.4,1,PAPA  llc,1.0
0100046487,1.25,3.947573094109004,-2.0,7.0,26.25,25.0,16370.55,65482.2,4,PAPA JOH associates,0.25
0100046590,13.0,0.0,13.0,13.0,28.0,15.0,14257.92,14257.92,1,CLEMEN us,1.0
